Date,Oil_Import
2011 01 ,317275
2011 02 ,262339
2011 03 ,303897
2011 04 ,285934
2011 05 ,281147
2011 06 ,284093
2011 07 ,287569
2011 08 ,279111
2011 09 ,289561
2011 10 ,272678
2011 11 ,273248
2011 12 ,265615
2012 01 ,274568
2012 02 ,253150
2012 03 ,299033
2012 04 ,302836
2012 05 ,310396
2012 06 ,310153
2012 07 ,318991
2012 08 ,309053
2012 09 ,284192
2012 10 ,272415
2012 11 ,271185
2012 12 ,279096
2013 01 ,296158
2013 02 ,235122
2013 03 ,292010
2013 04 ,265822
2013 05 ,289106
2013 06 ,285572
2013 07 ,295338
2013 08 ,287633
2013 09 ,273698
2013 10 ,284594
2013 11 ,268189
2013 12 ,279359
2014 01 ,257536
2014 02 ,242560
2014 03 ,271697
2014 04 ,258417
2014 05 ,272766
2014 06 ,270684
2014 07 ,266782
2014 08 ,263945
2014 09 ,250160
2014 10 ,250303
2014 11 ,244987
2014 12 ,235120
2015 01 ,245715
2015 02 ,203162
2015 03 ,231414
2015 04 ,231621
2015 05 ,238809
2015 06 ,231912
2015 07 ,245724
2015 08 ,251079
2015 09 ,237699
2015 10 ,230822
2015 11 ,222248
2015 12 ,240519
2016 01 ,234969
2016 02 ,201572
2016 03 ,225487
2016 04 ,226639
2016 05 ,222177
2016 06 ,212025
2016 07 ,236534
2016 08 ,231649
2016 09 ,224851
2016 10 ,221600
2016 11 ,218845
2016 12 ,223978
2017 01 ,222315
2017 02 ,198807
2017 03 ,235360
2017 04 ,216229
2017 05 ,224604
2017 06 ,219618
2017 07 ,228160
2017 08 ,239212
2017 09 ,216838
2017 10 ,220171
2017 11 ,221130
2017 12 ,244965
2018 01 ,236065
2018 02 ,229492
2018 03 ,248383
2018 04 ,228344
2018 05 ,245749
2018 06 ,226802
2018 07 ,250986
2018 08 ,248482
2018 09 ,241213
2018 10 ,234666
2018 11 ,240691
2018 12 ,242213
2019 01 ,262811
2019 02 ,220558
2019 03 ,253114
2019 04 ,246132
2019 05 ,264554
2019 06 ,242677
2019 07 ,245369
2019 08 ,245611
2019 09 ,219708
2019 10 ,238109
2019 11 ,230230
2019 12 ,241245
2020 01 ,248552
2020 02 ,209942
2020 03 ,236216
2020 04 ,247608
2020 05 ,242857
2020 06 ,254283
2020 07 ,246671
2020 08 ,247656
2020 09 ,227795
2020 10 ,227975
2020 11 ,226251
2020 12 ,219240
2021 01 ,234307
2021 02,178257
2021 03,210276
2021 04,209958
2021 05,221259
2021 06,214563
2021 07,215083
2021 08,215273
2021 09,194485
2021 10,193493
2021 11,174531
2021 12,211837
2022 01,198663
2022 02,189060
2022 03,195181
2022 04,165586
2022 05,188693
2022 06,191919
2022 07,183087
2022 08,168406
2022 09,161926
2022 10,164494
2022 11,168655
2022 12,178597
2023 01,181197
